TDP,air_velocity,tim_conductivity,thermal_resistance,junction_temperature
40,5.0,6,0.2998179227796589,36.992716911186356
40,5.0,7,0.2988101122480389,36.952404489921555
40,5.0,8,0.29805425434932387,36.92217017397296
40,5.0,9,0.29746636487254546,36.89865459490182
40,5.0,10,0.2969960532911228,36.87984213164491
40,5.0,11,0.2966112529063224,36.8644501162529
40,5.0,12,0.2962905859189887,36.85162343675955
40,5.5,1,0.3321905202246628,38.28762080898651
40,5.5,2,0.3110264990606416,37.44105996242567
40,5.5,3,0.3039718253393012,37.15887301357205
40,5.5,4,0.30044448847863103,37.01777953914524
40,5.5,5,0.2983280863622289,36.933123454489156
40,5.5,6,0.29691715161796084,36.876686064718434
40,5.5,7,0.29590934108634076,36.836373643453626
40,5.5,8,0.2951534831876257,36.80613932750503
40,5.5,9,0.29456559371084734,36.78262374843389
40,5.5,10,0.29409528212942465,36.763811285176985
40,5.5,11,0.2937104817446243,36.748419269784975
40,5.5,12,0.29338981475729065,36.735592590291624
40,6.0,1,0.3296216018479842,38.18486407391937
40,6.0,2,0.30845758068396306,37.33830322735852
40,6.0,3,0.3014029069626227,37.05611627850491
40,6.0,4,0.2978755701019525,36.9150228040781
40,6.0,5,0.29575916798555035,36.83036671942202
40,6.0,6,0.2943482332412823,36.773929329651295
40,6.0,7,0.2933404227096622,36.73361690838649
40,6.0,8,0.2925845648109472,36.70338259243789
40,6.0,9,0.29199667533416884,36.67986701336675
40,6.0,10,0.2915263637527461,36.661054550109846
40,6.0,11,0.2911415633679457,36.64566253471783
40,6.0,12,0.2908208963806121,36.632835855224485
40,6.5,1,0.3273233272506808,38.09293309002723
40,6.5,2,0.30615930608665964,37.24637224346638
40,6.5,3,0.29910463236531926,36.96418529461277
40,6.5,4,0.29557729550464906,36.823091820185965
40,6.5,5,0.293460893388247,36.738435735529876
40,6.5,6,0.29204995864397887,36.681998345759155
40,6.5,7,0.29104214811235884,36.641685924494354
40,6.5,8,0.29028629021364377,36.61145160854575
40,6.5,9,0.2896984007368654,36.58793602947462
40,6.5,10,0.28922808915544274,36.56912356621771
40,6.5,11,0.28884328877064236,36.553731550825695
40,6.5,12,0.2885226217833087,36.540904871332344
40,7.0,1,0.3252494385883166,38.00997754353266
40,7.0,2,0.30408541742429546,37.16341669697182
40,7.0,3,0.29703074370295507,36.8812297481182
40,7.0,4,0.2935034068422849,36.74013627369139
40,7.0,5,0.29138700472588275,36.65548018903531
40,7.0,6,0.2899760699816147,36.59904279926459
40,7.0,7,0.2889682594499946,36.55873037799978
40,7.0,8,0.2882124015512796,36.52849606205118
40,7.0,9,0.28762451207450124,36.504980482980045
40,7.0,10,0.2871542004930785,36.48616801972314
40,7.0,11,0.2867694001082781,36.47077600433113
40,7.0,12,0.2864487331209445,36.45794932483778
40,7.5,1,0.3233642045508573,37.93456818203429
40,7.5,2,0.30220018338683613,37.08800733547345
40,7.5,3,0.29514550966549574,36.80582038661983
40,7.5,4,0.29161817280482555,36.66472691219302
40,7.5,5,0.2895017706884234,36.580070827536936
40,7.5,6,0.28809083594415535,36.523633437766215
40,7.5,7,0.2870830254125353,36.48332101650141
40,7.5,8,0.28632716751382026,36.45308670055281
40,7.5,9,0.2857392780370419,36.42957112148167
40,7.5,10,0.28526896645561917,36.410758658224765
40,7.5,11,0.2848841660708188,36.395366642832755
40,7.5,12,0.28456349908348516,36.382539963339404
40,8.0,1,0.3216395046406946,37.865580185627785
40,8.0,2,0.3004754834766734,37.019019339066936
40,8.0,3,0.293420809755333,36.73683239021332
40,8.0,4,0.28989347289466283,36.59573891578651
40,8.0,5,0.28777707077826076,36.51108283113043
40,8.0,6,0.28636613603399264,36.4546454413597
40,8.0,7,0.2853583255023726,36.4143330200949
40,8.0,8,0.28460246760365754,36.384098704146304
40,8.0,9,0.2840145781268792,36.360583125075166
40,8.0,10,0.2835442665454565,36.34177066181826
40,8.0,11,0.2831594661606561,36.32637864642625
